;location_id;city;general_info_text
10;76870281;Batna;Batna is a city in Northeast Algeria. It is also the main city and commune of Batna Province. With a population of around 340,000, it is the fifth largest city in Algeria.
11;289873520;Bashar;Bashar is a city in Algeria's Saharan Atlas region. 
12;77509915;Constantine;"Constantine (Arabic: قسنطينة, Qusantinah; Berber: ⵇⵙⵏⵟⵉⵏⴰ, qsnṭina) is a city in Northeast Algeria and the capital of Constantine Province. It is a famous tourist spot known for its breathtaking canyons, magnificent bridges, and picturesque location."
13;288454183;Oran;Oran (Arabic: وَهران, Wahran) is the second largest city in Algeria and the capital of Oran province, with more than 1,500,000 people.
14;77619853;Setif;Sétif is a city in Northeast Algeria.
15;76738370;Tamanghasset;Tamanghasset (Arabic: تامنراست) is an oasis city deep in Saharan Algeria. It is the capital of Tamanghasset Province, and has a population of around 100,000 people. 
16;47786095;Buenos Aires;Buenos Aires is the capital of Argentina and one of Latin America's most culturally significant cities. It is a city of beautiful parks and belle epoque architecture, a place of big historical events, and a city of intimate cafes and cosmopolitan nightlife.
17;37182783;Cordoba;Córdoba is the second largest city in Argentina, with about 1.4 million inhabitants, and is the capital of Cordoba province. It is known for its rich colonial heritage and its old university, now the second-largest of the country. You can’t miss the historical centre and the magnificent churches, the Cathedral and the Jesuitic quarter with the Montserrat School and the old University buildings. Also, Córdoba is home to the perhaps most popular Argentine Latin pop music genre, cuarteto. 
18;48378348;La Plata;"La Plata is the capital city of Buenos Aires Province. This planned city is recognized for its layout, a perfect square with the ""Historic Axis"" preserved intact until today; and for the outstanding design of the diagonals that cross it forming rhombuses within its contour, forests and squares placed exactly every six blocks."
19;34018474;Mendoza;Mendoza is a city in western Argentina, in the desert Cuyo region. Mendoza is the center of the Argentinian wine industry, for which it is world renowned. It is also near the Aconcagua, the highest mountain outside of the Himalayas. Mendoza is the capital of the province of Mendoza.
20;46858241;Rosario;Rosario is the third largest city in Argentina and the largest city in Santa Fe province, at the Paraná river. It is known for its rich architectural heritage and beautiful riverside scenery, and offers a vibrant cultural and night life.
21;36762900;Salta;Salta is the capital of the province of Salta, up in the mountains in northern Argentina. Salta is typically visited as a launching point for the nature and small towns in the region, but has its own charms and sights worth seeing too.
22;33165792;San Carlos de Bariloche;Bariloche is in the Río Negro Province, near the Nahuel Huapi National Park in Argentina.
23;37037556;San Juan;San Juan is the capital of Puerto Rico and its largest city, with 342,000 (2020) inhabitants in the municipality and 2,203,000 in the metropolitan area. Founded in 1521 by the Spanish conquistadors, San Juan is the oldest city under the jurisdiction of the United States. San Juan is located in the north-east coast of Puerto Rico and features distinctly centuries-old architecture, such as Spanish military forts built from the 1540s to 1800s, an active harbor, and a very active economic area in the Hato Rey and Santurce districts. San Juan has magnificent beaches, hotels, plazas, historic sites, and museums.
24;215593360;Yerevan;"Yerevan (Armenian: Երեւան, Երևան) is the capital of the Republic of Armenia, one of the three hubs of the South Caucasus and is home to over a million people (2022) — the largest Armenian community in the world. In Soviet years Yerevan underwent massive reconstruction, following architect Alexander Tamanyan's plan to make a ""perfect city"" - a Neo-Classical town with wide avenues, resembling Paris, Vienna and Saint Petersburg. As a result, the city is easily accessible by foot and boasts a dense assortment of parks, galleries, museums, and other public institutions."
25;217036984;Alaverdi;Alaverdi (Armenian: Ալավերդի) is a city in Northern Armenia, and an important commercial and industrial centre in this region.
26;216150937;Dilijan;"Dilijan is a town with mild climate and fresh air to the northeast of Yerevan. It is famous for its lovely surroundings, called the ""Armenian Switzerland"" by the locals, due to the densely forested valleys and mountains with alpine meadows surrounding them. It is an excellent base for hiking."
27;216207867;Goris;Goris (Գորիս) is a city in Southern Armenia. Goris is a favoured destination of many local and foreign tourists, with a lot of hotels and inns. The stone-pyramids of Old Kores are one of the most attractive sites in Goris.
28;215014350;Gyumri;Gyumri is the second largest city in Armenia and the capital of Shirak Province in Northern Armenia.
29;215473686;Jermuk;Jermuk is a spa town in Southern Armenia.
30;51330975;Canberra;Canberra was built to be the capital city of Australia, taking up all of Australian Capital Territory in the southeast of New South Wales. A planned city with national monuments, museums, and galleries all built around large man-made lakes. The bush capital - Canberra is also a great place to enjoy the outdoors, with excellent cycling, gardens, parks, bushwalking and nature reserves.
31;49206775;Adelaide;Adelaide is the capital city of South Australia. It lies on the eastern shores of Gulf St Vincent in the central, southern part of the Australian continent. Adelaide is Australia's fifth largest city, with a population of over 1.2 million. More than three quarters of South Australians live in the Adelaide metropolitan area.
32;54665371;Brisbane City;Brisbane, colloquially known as Brissie (pronounced Briz-ee), is the state capital of Queensland. The Greater Brisbane region has a population of about 2.2 million people, making it Australia's third-largest city. 
33;54068762;Cairns;Oddly, Cairns is pronounced Cans, with a stretched-out a sound. The R is silent.
34;55419491;Darwin;Darwin, a small yet cosmopolitan city, is the tropical capital city of the Northern Territory. People from more than 50 nations make up its population of 147,255 (2019). It sits on the Northern Territory coast, with the Timor Sea (a branch of the Indian Ocean) to the west, and the Arafura Sea to the north in Indonesian waters. Darwin is the only city of its size to have a north coast in mainland Australia, with the rest being small settlements.
35;51405631;Hobart;Hobart is the capital city of Tasmania and is Australia's second oldest city, after Sydney. Hobart sits along the Derwent River and began humbly as a penal colony. Hobart is now a small and intimate city with a population of around 247,000 (as of 2020) in the Greater Hobart area. The city is renowned for its many historic buildings, including the famous Salamanca Place, and is the gateway to Southern Tasmania. Hobart played a major role during the heroic age of Antarctic exploration and is one of the five gateway cities to Antarctica.
36;49739628;Melbourne;Melbourne is the cultural capital and (as of 2023) largest city of Australia, with Victorian-era architecture, extensive shopping, museums, galleries, theatres, and large parks and gardens. Many of its 4.875 million residents are both multicultural and sports-mad. The capital of the south-eastern state of Victoria, and located at the head of Port Phillip Bay, Melbourne is a magnet for migrants from all over the world, and consistently ranks as one of the world's most livable cities.
37;60192060;Perth;Perth is the capital and largest city of Western Australia. It is separated from Adelaide (the nearest city with over 100,000 inhabitants) by a distance of 2,120 km, including the vast spaces of the Nullarbor Plain, making it one of the world's most isolated cities.
38;197902925;Vienna;"Vienna (German: Wien; Austro-Bavarian: Wean) is the capital of Austria and by far its most populous city, with an urban population of 1.9 million and a metropolitan population of 2.4 million. It is the country's artistic, cultural, economic and political centre. It is known for its high living standards, relaxed yet elegant lifestyle and rich musical life."
39;91661868;Stadt Bregenz;Bregenz is the capital of Vorarlberg in Austria at the Lake Constance. The shore of Lake Constance, one of the biggest lakes in Europe, meets with the town centre. Go down to the lake in the evening and check out the beautiful sunset.
40;88327450;Eisenstadt;Eisenstadt is the state capital of Burgenland in Austria. It consists of 4 districts: Kleinhöflein im Burgenland, Eisenstadt-Oberberg, Eisenstadt-Unterberg and St. Georgen am Leithagebirge. Kleinhöflein is the most western part of Eisenstadt, St. Georgen am Leithagebirge the most eastern one. Both are known for their vintners and the many Heurigen. Eisenstadt-Oberberg is popular for the Bergkirche or Haydnkirche, which houses the Haydnmausoleum while Eisenstadt-Unterberg is characterized by the former Jewish district.
41;88724153;Graz;Graz maintains a balance between its illustrious past and modern present and features spectacular architecture from all periods, while the warm and sunny climate influenced by the closeness to the Mediterranean makes it a very nice city to visit.
42;91535507;Innsbruck;Innsbruck is the fifth-largest city in Austria and the provincial capital of Tyrol, as well as one of the largest cities in the Alps. It is in a valley of the river Inn between mountain ranges of above 2000 m above sea level, halfway between Bavaria and northern Italy, and is a hub of a region popular for skiing and other mountain-related activities and a busy tourist destination. Its popularity as a winter sports resort was underscored by its hosting the Winter Olympic Games twice.
43;89528813;Klagenfurt;Klagenfurt (Slovenian: Celovec) is the capital of Carinthia in Austria. It was one of the eight host cities in the 2008 European Football Championships.
44;144766547;Linz;"Linz is the third largest city in Austria with 205,000 inhabitants (2018), on the Danube (Donau) river, and the capital of the federal province of Upper Austria (Oberösterreich) and forms the heart of Austria's second strongest economic region. Linz is primarily known as a major industrial centre but also has a very picturesque historical old town including Austria's largest central square, surrounded by an impressive ensemble of Baroque architecture. Linz has tried to reposition itself as a cultural hub with numerous new museums and events. The tourist slogan of the city is ""In Linz beginnt's"" (""It starts in Linz"")."
45;90541418;Salzburg;Salzburg is a city in Austria, near the border with Germany's Bavaria state, with a population of 157,000 (2020). It was the setting for the 1965 movie The Sound of Music, so you may think you know all there is to see in Salzburg if you have seen the movie. Admittedly, it is difficult not to burst into song when you're walking along the Salzach River, or climbing up to the Hohensalzburg fortress, which looms over the city. But there is a lot more to this compact, courtly city than Julie Andrews and Wolfgang Amadeus Mozart, who was born here.
46;212207864;Baku;Baku (Azeri: Bakı) is the capital of Azerbaijan and is the largest city in the Caucasus. Baku's Old Town has UNESCO World Heritage status. Many cultures and architectural styles mix in Baku, in particular Turkish-Islamic elements meet strong Western European and Russian-Eastern European influences. 
47;216557238;Ganja;Ganja (Azeri: Gəncə) is a city in the Ganja Region of northwestern Azerbaijan.
48;218837735;Lankaran;Lankaran, Lenkeran, or Lenkoran (Lənkəran) is in Azerbaijan's Talysh Region.
49;216373120;Nakhchivan;Nakhchivan is the capital of the Nakhchivan Exclave of Azerbaijan, a.k.a, the Nakhchivan Autonomous Republic. 
50;216589050;Shaki;"Shaki (azr. Şəki, sometimes spelled ""Sheki"") is Azerbaijan's true travel gem, a small city off on the forested slopes of the Greater Caucasus Mountains. Rich in Islamic architecture, Silk Road history, good food, and friendly people, this is travel and leisure in the Caucasus at its finest."
51;211874916;Sumgayit;Sumqayit, or Sumgayit (Sumqayıt) is the third-largest city in Azerbaijan.
52;248159027;Dhaka;Dhaka (formerly known as Dacca) (Bengali: ঢাকা) is the capital and largest city of Bangladesh. It is the largest city by population in the historical region of Bengal and a major city in South Asia. It is a hub for trade and culture, with a long history as a Bengali capital. It has been called the City of Mosques and the Venice of the East, due to its Islamic architecture and a riverfront facing the Buriganga (Old Ganges). It is also known as the Rickshaw Capital of the World, as there are over 500,000 cycle rickshaws running on its roads. Although it is described as a concrete jungle, Dhaka has venerable green spaces, including many gardens and parks.
53;246959455;Barishal;Barisal, also spelt Barishal, is the capital of Barisal Division in Southern Bangladesh.
54;248449006;Chattogram;Chittagong (officially Chattogram) is the main international seaport and second largest city in Bangladesh, on the Bay of Bengal. The city is the headquarters of many Bangladeshi companies, including the Chittagong Stock Exchange. According to the British newspaper The Telegraph, Chittagong is one of the ten fastest-growing cities in the world.
55;248979842;Jashore;Jessore (pronounced Josh-ore), also spelt Jashore, is a city in the southern region of Bangladesh. There's not a lot to do here, but the people are friendly and it makes an OK stopover en route to or from Rajshahi, Khulna or Benapole.
56;247128220;Khulna;Khulna is the capital city of Khulna Division in Southern Bangladesh. On the bank of Rupsha (and Bhairav) river, it is known as the industrial city, and is the third most populous city in the country. It is known in Bangladesh for its mills and shipyard. But for tourists, it is better known as the gateway of the Sundarbans.
57;243048890;Mymensingh;Mymensingh is a city in Bangladesh with renowned educational institutes, Brahmaputra River, and the beauty of green paddy fields.
58;86638199;City of Zagreb;Zagreb is a city in Central Croatia and the capital of Croatia. The city has a charming medieval 'old city' with architecture and cobbled streets reminiscent of Vienna, Budapest, Prague and other Central-European capitals. 
59;81293513;Dubrovnik;"Dubrovnik is an old city on the Adriatic Sea coast in the extreme south of Croatia. It is one of the most prominent tourist resorts of the Mediterranean, a seaport and the centre of the Dubrovnik-Neretva County. Its population is about 43,000 in 2011. Dubrovnik is nicknamed ""Pearl of the Adriatic"" and is listed as a UNESCO World Heritage Site."
60;86687547;Osijek;Osijek is a city in Eastern Croatia. It is an important transport hub and the principal city of Slavonia.
61;98391388;Grad Pula;Pula (Italian: Pola, Slovene: Pulj) is a nice town at the tip of the Istrian peninsula in northwestern Croatia. 
62;239971843;Rajshahi;Rajshahi is the capital of Rajshahi Division in Bangladesh. The city is near many ancient capitals of Bengal, notably Lakhnoiti (or Lokhnaboti), and Pundra. Rajshahi is famous for trade in many exotic items, including pure silk, mangoes and lychees. Attractive silk products are cheaper in Rajshahi than anywhere else in the country, with the city often referred to as the 'silk city'. There are also a number ancient mosques, shrines and temples in and around Rajshahi.
63;240078053;Rangpur;Rangpur (Bengali: রংপুর Raṃpur) is one of the major cities in Bangladesh and Rangpur Division. It is in the north western part of Bangladesh. The city is the commercial hub for the surrounding districts. 
64;184576951;Minsk;Minsk (Belarusian: Мінск, Russian: Минск) is the capital and largest city of the Republic of Belarus. Its population is about two million people in 2021.
65;189891208;Brest;"Brest (Belarusian: Брэст; Russian: Брест) is a border town in the south-west corner of Belarus, near Terespol in Poland. Brest is a city closely linked to the history of Central and Eastern Europe and the ever-changing borders. One aspect of the city that shows this is its architecture, with parts of Brest quite Polish in character. However the eastern links are also strong, with beautiful orthodox churches and some prime examples of Soviet building styles. "
66;183714299;Polatsk;Polotsk is one of the places that are considered the geographic centre of Europe.
67;183891551;Homyel;"Homyel (Belarusian/Russian: Го́мель; also transliterated Homieĺ based on the Belarusian pronunciation) is the second largest city in Belarus (around 500 000 inhabitants), and is the capital of Gomel Oblast. "
68;184451423;Pinsk;Pinsk is a city in Belarus in Brest Oblast located at the confluence of the Pina and Prypiat rivers. First mentioned in 1097, it enjoyed reasonable local importance for centuries, being at different times a seat of Orthodox bishops, a location of a big Jesuit college, and home for a thriving Jewish community. Today it has a population of around 130,000.
69;190845818;Hrodna;Grodno (Belarusian: Гродна Hrodna, Russian: Гродно Grodno) is a city in Belarus, on the Neman River, close to the borders of Poland and Lithuania (about 20 km and 30 km away respectively).
70;184712050;Mahilyow;Mogilev (another pronunciation Mahilyow, Belarusian: Магілёў, Russian: Могилёв) is a city in eastern Belarus, the third biggest city in a country with 367,788 inhabitants (2007 estimate). Mogilev is major local cultural, educational and industrial center. 
71;122194243;Brussels;Brussels (French: Bruxelles, Dutch: Brussel) is the capital of Belgium and one of the three administrative regions within the country, together with Flanders and Wallonia. Apart from its role within its country, it is also an internationally important city, hosting numerous international institutions, and in particular the headquarters of NATO and the core institutions of the European Union. Due to that, it is sometimes referred to informally as the capital of the EU, and even used as a metonym for the EU institutions.
72;123335469;Antwerp;Antwerp (Dutch: Antwerpen, French: Anvers) is the capital of the eponymous province in the region of Flanders in Belgium. At a population of just over half a million people (2018), it is the second largest city in Belgium (after Brussels), and it has a major European port. Due to its long and culturally rich history, the city of Antwerp houses many interesting historical buildings from different historical periods, and many interesting museums. Antwerp is also known as the global diamond trade hub - more than 70% of all diamonds are traded in Antwerp.
73;118163129;Bruges;Bruges (Dutch: Brugge) is a picturesque city in Flanders, the northern part of Belgium. Once Europe's richest city, now both cosmopolitan and bourgeois in its compact size. It is mainly known for its exceptionally well-preserved historical centre (especially by Belgian standards), which draws over 400,000 tourists annually.
74;118323605;Ghent;Ghent (Dutch: Gent, French: Gand) is a city in East Flanders in Belgium. Ghent is a city with a population of 265,000 in 2020, with rich history. At the same time, Ghent has a relatively high proportion of young people, and a significant seasonal student population.
75;121720457;Leuven;Leuven (French: Louvain) is a flourishing and lively city of about 100,000 inhabitants (2018). It is the capital of the Belgian province of Flemish Brabant. It's a genuine university city which reflects in the streets. During the academic year (end of September until end of June) the city is full of young people, especially on weekdays. Sometimes it may seem that there are no other people living in the city. Summer in Leuven in general is calmer, although a lot of summer events are organised. The university that was founded in 1425 and has more than 40,000 students is the oldest Catholic university in the world. The historic centre is one of the most beautiful in Belgium.
76;120731539;Liège;Liège (German: Lüttich, Dutch: Luik) is the largest city of Wallonia. This industrial city is actually quite green, with wide boulevards, an interesting, if a bit disorderly, mix of architecture from different periods, much greenery and picturesque riverbanks and hillsides. There are also quite a few museums and other points of interest, enough for at least a busy day trip.
77;122859043;Mechelen;Mechelen is a historically important city located on the river Dyle in the center of Flanders, one of the three regions in Belgium. It lies about halfway between Antwerp and Brussels and has approximately 80,000 inhabitants.
78;371151159;Mons;Mons (Dutch: Bergen, not to be confused with the namesake city in Norway) is the capital of the Belgian province of Hainaut, in the region of Wallonia. The town is a worthy place to base yourself for a multi-day exploration of the Hainaut region.
79;368252032;Sofia;Sofia (София) is the capital of Bulgaria. It is also the biggest city in the country with about 2 million citizens (including suburbs). Today, Sofia is a dynamic European capital, distinguished by its unique combination of European and communist-style architecture as well as many beautiful Orthodox churches. Furthermore, it claims to be one of the few European capitals with beautiful scenery and a developed ski-resort so close to it, the Vitosha mountain.
80;83586924;Burgas;Burgas (also Bourgas) is a city on the Black Sea coast of Bulgaria. It is a large industrial centre with many tourist attractions in the region. Built by the sea and surrounded by lakes, Burgas offers relatively mild weather characterized by cooler summers and warmer winters.
81;99332656;Grad Rijeka;"Rijeka (literally ""River"" in Croatian language) is a city in Kvarner Bay, a northern inlet of the Adriatic Sea in Croatia. It is the principal seaport of the country. It had about 129,000 inhabitants in 2011, with the greater city area reaching up to 200,000, and is Croatia's third largest city. In 2020 Rijeka was the European Capital of Culture with the motto Port of Diversity."
82;81170599;Split;Split is a city in Central Dalmatia, Croatia, and the seat of the Split-Dalmatia county. The city was built around the Diocletian palace (a palace/fort built for the retired Roman emperor Diocletian) where the locals sought refuge centuries ago. Wandering the historic centre of Split you can still clearly see the Roman walls, squares, and temples.
83;99185819;Zadar;"Zadar is the biggest city, cultural, economic and transit center of northern Dalmatia and the oldest continuously inhabited city in Croatia. Zadar is today one of the most popular Croatian tourist destinations, named ""entertainment center of the Adriatic"" by The Times and ""Croatia's new capital of cool"" by The Guardian in 2017."
84;100545408;Grad Cres;Cres is a Croatian island in the Adriatic Sea. 
85;36129235;La Paz;La Paz is the administrative capital of Bolivia, while Sucre is the constitutional capital and the seat of the Supreme Court.
86;36059490;Cochabamba;"Cochabamba, or simply Cocha is fourth largest city in central Bolivia, in a valley with the same name, in the Andes mountain range. Its name is from a compound of the Quechua words q'ucha, meaning ""lake"", and pampa, ""open plain"". It is known as the ""City of Eternal Spring"" and ""The Garden City"" because of its spring-like temperatures all year round. It is also known as La Llajta, which means ""town"" in Quechua."
87;215097578;Tbilisi;Tbilisi (Georgian: თბილისი), archaic spelling Tiflis (Russian: Тифлис), is the capital city of the country of Georgia, lying on the banks of the Mtkvari River. The metropolitan area covers 726 km² (280 mi²) and has a population of approximately 1.5 million (2022).
88;36103354;Oruro;Oruro is a city in the Oruro Department of Bolivia.
89;37334738;Potosí;Potosí, at around 4,000 metres, is one of the world's highest large cities. It is located in the Potosí Department of Bolivia. The wealthy history of Potosí is reflected in the narrow streets, colonial mansions and the many churches, which make the city a UNESCO World Heritage site.
90;38410960;Quime;Quime is a small city in Yungas of Inquisivi region of La Paz.
91;35920149;Sorata;Sorata is a town in the La Paz Department of Bolivia, about a 150 km northwest of La Paz.
92;36368387;Sucre;Sucre is a city in Chuquisaca Department, Bolivia. It is the official capital of the country, though most of the government is based in La Paz. Its center is a UNESCO world heritage site, and it is a pretty city with welcoming people and a peaceful atmosphere.
93;81248619;City of Sarajevo;"Sarajevo is the capital of Bosnia and Herzegovina, and its largest city, with 420,000 citizens in its urban area (2013). Sarajevo metropolitan area that has a population of 555,000 also includes some neighbourhoods of ""East Sarajevo"" that are a part of Republika Srpska. Sarajevo is very tourist friendly, especially pedestrian area in the Old Town in the centre of the city. "
94;86503506;Banja Luka;Banja Luka (also written Banjaluka or Бања Лука) is a picturesque city in the western part of Bosnia and Herzegovina. It is the administrative capital and the largest city of Republika Srpska, and the second largest city in Bosnia and Herzegovina.
95;99351402;Bihać;The Una River has defined Bihać, the city and municipality for centuries. The waterfalls in Štrbački buk and Martinbrod are widely known. A valley near the Una headwaters, and the upper Una River valley are a national park since 2008. Every summer Bihać hosts the Una Regatta coupled with many cultural events.
96;86659813;Jajce;Jajce is a small 14th-century walled town in nortwestern Bosnia and Herzegovina, well known in former Yugoslavia for its waterfalls, fortress and old town.
97;81346241;Mostar;Mostar is a city in Bosnia and Herzegovina. Much of the city has been rebuilt and visitors might be surprised to see that this formerly war-torn city is a lively and beautiful destination once again, particularly the area within and around the old town. However, many visible signs of Mostar's troubled history in the 1990s remain.
98;81287117;Neum;"Neum is a resort town on the 9 km strip of Adriatic coast that belongs to Bosnia and Herzegovina. In other contexts this country is often loosely referred to as ""Bosnia"", but Neum is specifically part of Herzegovina. That entity is undefined and contentious so on this page the country is abbreviated to BiH. In 2013 the Neum strip had a population of 4653, most of them in the town itself."
99;86556997;Tuzla;Tuzla is the third largest city in Bosnia and Herzegovina, in one of the most important industrial Bosnian regions. The city was hardly directly targeted by the war, except for an incident near the end of the war, when 72 people were killed by a shell fired into the Old Town during the evening. Nowadays, the city’s economy is still predominantly based around industry, although there has been significant development in tourism in the 21st century.
100;86845060;Teslić;Teslić (Cyrillic: Теслић) is a town and municipality on the Usora River in the central part of the Republika Srpska entity, in north-central Bosnia and Herzegovina.
101;46151586;Brasília;Brasilia (Portuguese: Brasília), the capital of Brazil and the seat of government of the Distrito Federal, is a planned city in the Central Highlands of Brazil. Inaugurated in 1960, it is a masterpiece of modernist architecture listed as a World Heritage Site by UNESCO and attracts architecture enthusiasts worldwide. Brasilia is also an important transportation hub for travel within Brazil.
102;39096712;Florianópolis;"Florianópolis (""Floripa"" for short) is a coastal city in southern Brazil, the capital of the state of Santa Catarina. Most of the city's area consists of the island of Santa Catarina, connected to the mainland by two bridges, and only a small part of the island can really be called urban—the rest is full of gorgeous beaches and nature, including a large lagoon. Though famous for its beaches, Floripa also has great hikes and beautiful forested mountains. Here you can enjoy the outgoing culture and natural beauty of coastal Brazil in a less dangerous place than Rio de Janeiro, Fortaleza, or Recife."
103;44834368;Fortaleza;Fortaleza is a major city on Brazil's northeast coast, and the capital of Ceará state. It is one of the largest cities in Brazil and certainly one of the most vibrant. The city is perhaps the most popular domestic package tour destination, and Europeans are following suit. Despite being quite a party town, the carnival in Fortaleza is rather feeble, though growing bigger by the year, with the largest parades being maracatu-style. In 2018, there were 2.6 million inhabitants in the city, and 4.1 million in the metropolitan area.
104;43717061;Manaus;"Manaus is a metropolis of Brazil with about 2.6 million inhabitants in the center of the Amazon rainforest. Its name means Mother of Gods in the indigenous language. The two rivers run side by side for many miles of different colors, running together: the ""Meeting of Waters"". Legend has it that they never mix."
105;39690270;Porto Alegre;Porto Alegre is the capital city and the most populous city of the state Rio Grande do Sul, the southernmost state in Brazil. With 4.4 million people in its metropolitan area (2020), it is the 4th largest city of the country. The city is not known for its tourist attractions, although it is a frequently used entry point to the Serras Gaúchas region, a major domestic tourism destination.
106;45407560;Recife;Recife, the capital of Pernambuco, is one of the largest and most important cities on the northeastern coast of Brazil. This lively capital, founded by Dutch colonizers, is brimming with a vibrant culture, an interesting old town (which includes the oldest synagogue in the Americas) and some nice beaches.
107;41813142;Rio de Janeiro;"Rio de Janeiro is the second largest city in Brazil, on the South Atlantic coast. Rio is famous for its breathtaking landscape, its laid-back beach culture and its annual carnival. The ""Carioca Landscapes between the Mountain and the Sea"" has been inscribed on the UNESCO World Heritage list."
108;46599463;Salvador;Salvador is the capital of the state of Bahia, Brazil. With a charming Old Town (a World Heritage Site), a vibrant musical scene and popular Carnaval celebrations, it is considered one of the birthplaces of Brazilian culture. It is the biggest city in the Northeast region, and was the first capital of Brazil.
109;83770054;Gabrovo;Gabrovo (Bulgarian: Габрово) is a city in the Balkan region of Bulgaria. The city is also home to two museums, several historical churches and monuments in and historic bridges over the Yantra River, all popular destinations for tourists and sightseers.
110;83844941;Pleven;Pleven (Bulgarian: Плевен [ˈplɛvɛn]), a.k.a Plevna in Romanian, Plevne in Turkish, is a city in North Bulgaria.
111;84904097;Plovdiv;"Plovdiv (Bulgarian: Пловдив) is the second-largest city in Bulgaria, and one of the two oldest cities in Europe. It sits on the large plain between the Rhodope Mountains on the south and the Balkan Range (Stara Planina - ""Old Mountain"") that runs through the centre of Bulgaria to the north. Both ranges are visible on clear days. The Maritsa River flows through the city on its way southeast before forming the Greek/Turkish border to the Aegean Sea."
112;83739901;Ruse;Ruse (Bulgarian: Русе, also romanized as Rousse) is a city on the south bank of the Danube river, in North Bulgaria.
113;83630459;Varna;"Varna (Варна) is a large city on the Black Sea coast in the northeast of Bulgaria. It's the larger of the country's two major sea ports (the other one is Burgas), and a gateway to the seaside resorts on the northern part of the coast. With a population of nearly 350,000, Varna is the third-largest city in Bulgaria (after Sofia and Plovdiv) and it is often called ""the sea capital"" (morska stolitsa) of Bulgaria. It also holds the headquarters of the Bulgarian Navy and merchant marine, and several institutions of higher education."
114;83745258;Veliko Tarnovo;Veliko Tarnovo (Bulgarian: Велико Търново, also romanized as Veliko Turnovo) is a historic city in the central-north of Bulgaria notable for its medieval ruins and its picturesque cityscape - it was built on the steep banks of the Yantra river as it snakes through the foothills of the Balkan Mountains. In the middle ages, Tarnovo was the capital of the Second Bulgarian Empire (1185-1396) and the partially restored ruins of the Tsarevets Fortress are the main sight of the city. Today, it's a university town with a population of about 66 thousand and the administrative centre of the eponymous region.
115;71082401;Kerman;Kerman is the capital of Kerman, in southeastern Iran.
116;220346505;Mashhad;Almost everything about Mashhad relates to its role as the holiest city in Iran, even its name (literally: burial place of the martyr). As the capital of Iran's Khorasan province, Mashhad's year-round cool temperatures and fascinating insights into the Shi'ite heartland have much to offer visitors.
117;222543598;Qom;Qom (Persian: قم) is a holy city between Tehran and Isfahan. Qom is 120 km from Tehran.
118;71272961;Shiraz;Shiraz (Persian: شیراز) is the capital city of the Fars province and a treasure trove of Persian culture. It was the capital of Iran during the Zand dynasty's era (1747–79), and is the celebrated birthplace of the great Persian poets Hafiz and Saadi. The city has a population of about 1,500,000. In previous centuries, Shiraz was famous as a locally produced wine, although this has no connection to the modern Shiraz (or Syrah) wine, which is of French origin.
119;21971209;Ottawa;While most Ottawans are English-speaking, 15% are native French speakers, making Ottawa Canada's largest Francophone city outside of Quebec. Visitors come to Ottawa to see Parliament Hill, as well as Canada's national museums.
