;location_id;city;general_info_text
10;369439125;Lviv;"Lviv (also spelled L'viv; Ukrainian: Львів; Polish: Lwów, German: Lemberg, Russian: Львов), formerly known as Lvov after its Russian name, is in Western Ukraine and used to be the capital of East Galicia. It's the biggest city of the region and a major Ukrainian cultural centre on the UNESCO World Heritage List. There is useful website for tourists visiting Lviv: lviv.travel."
11;84468798;Odesa;Odesa (Ukrainian: Одеса, also transliterated Odessa from Russian: Одесса), is a seaport on the Black Sea coast of Ukraine. The city is home to over a million people (2015). Its chief attraction to visitors is the graceful old town, laid out on a grid pattern in the early 19th century, with its many churches, galleries and museums. There’s also a small beach resort. Reaching Bessarabia, and travel between Ukraine and Moldova or Romania, will usually involve a stopover in Odesa.
12;71198752;Abu Dhabi;Abu Dhabi is the federal capital and the seat of the three branches of government of the United Arab Emirates. It is the largest city and capital of the Emirate of Abu Dhabi.
13;70734656;Dubai;"Dubai (Arabic: دبي) is a cosmopolitan metropolis and global city on the Arabian Peninsula. The city is one of the ten most popular tourist destinations in the world. The city is also considered one of the most modern and progressive cities in the Middle East – certainly in the Arab world – and is also sometimes nicknamed as ""City of Gold"" due to historically being a hub for gold trade as well as the rapid transformation from a desert into a luxurious city."
14;370177480;Sharjah;Sharjah (Arabic: الشارقة) is the third largest city in the United Arab Emirates and the capital of Sharjah emirate. Sharjah is known for its Arabic and Islamic architecture as well as its libraries, Islamic museums, and cultural centers. The city is known as the cultural and literature hub of the United Arab Emirates. The city is rooted in its Arabic and Islamic heritage with many Umayyad and Abbasid-styled buildings and offers a glimpse of Arabic and Islamic environment in an otherwise largely westernized country. It is a major hub for family friendly environment and activities and has a more conservative atmosphere. The city has many green parks, apartment complexes, and a large community of Arabs from all the Arab world making the city an effective cultural meeting point for many different communities of Arabs.
15;70784031;Ajman;Ajman (Arabic: عجمان Ajmān) is the smallest of the emirates and a city of United Arab Emirates.
16;70625577;Umm Al Quwain;Umm Al Quwain (أمّ القيوين) is an emirate between Ajman and Ra's al Khaymah on the west coast of the United Arab Emirates. It stretches from the beautiful, lush green coastal mangroves lining the shores of the Persian Gulf, inland across the rolling sand dunes to the fertile oasis surrounding Falaj Al Moalla.
17;71864661;Ras Al Khaimah;Ra's al Khaymah (also Ras al-Khaimah), colloquially known as RAK, is the most northern of the seven emirates of the United Arab Emirates, and borders the Omani exclave Musandam.
18;71059248;Fujairah;The easternmost of the United Arab Emirates, Fujairah is the only emirate not to have a coastline along the Persian Gulf. It is also the youngest of the emirates: it only became independent from Sharjah in 1952.
19;71016870;Al Ain;"Al Ain is the garden city of United Arab Emirates. This oasis town is next to, and virtually merged with, the Omani town of Buraimi. The ""Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)"" have been inscribed on the UNESCO World Heritage list."
20;274010846;London;"Noisy, vibrant and truly multicultural, London is a megalopolis of people, ideas and frenetic energy. The capital and largest city of England, and of the wider United Kingdom, it is also the largest city in Western Europe. Situated on the River Thames in South-East England, Greater London has an official population of a little over 8 million, but the estimate of between 12 and 14 million people in the greater metropolitan area better reflects its size and importance. Considered one of the world's leading ""global cities"", London remains an international capital of culture, music, education, fashion, politics, finance and trade."
21;372110415;Belfast;Belfast (Irish: Béal Feirste) is the capital and largest city of Northern Ireland. Historically most of it lay in County Antrim west of the River Lagan, with about a third on the east bank in County Down, but it's always been governed as a separate metropolis, with a population in 2020 of about 630,000. It's had a troubled history but is nowadays safe to visit and has the best-developed visitor facilities in Northern Ireland. And its situation means that Belfast can confidently claim to be the most fascinating city in both the United Kingdom and in Ireland.
22;273206003;Birmingham;"Birmingham, in the West Midlands, is Britain's second-largest city. Known in the Victorian era as the ""City of a Thousand Trades"" and the ""Workshop of the World"", Brum, as locals call the city, is enjoying a 21st-century resurgence as a great shopping and cultural destination."
23;275277495;Bristol;Bristol is a city in the West Country of England. Famous for its maritime history it also offers a great and diverse range of attractions, hotels, bars and events. Bristol is one of England's top visitor destinations, and the best time to visit is in the summer when major festivals are held in the city.
24;275512916;Cardiff;The city centre has been intensely developed in the 21st century, and is now considered to be one of the top ten shopping destinations in the United Kingdom. Cardiff is a green city, and this is complemented by Bute Park which sits in the heart of the city. It has a reputation as a city of castles, having 5 of them within its surroundings. The city's core population stands at roughly 341,000, with 861,000 living in the larger urban area. This number is rises and falls with term times due to the student population.
25;269262206;City of Edinburgh;"Edinburgh (Gaelic: Dùn Èideann) is the capital of Scotland, located in the Central Belt of the country. With a population of 526,470 in the urban area in 2021, and 901,455 in the metropolitans, Edinburgh fizzes with a cosmopolitan yet uniquely Scottish atmosphere. Old volcanoes ensure a dramatic natural setting, with the imposing castle atop one. The city combines medieval relics, Georgian grandeur and a powerful layer of modern life with contemporary avant-garde. Medieval palaces, Gothic churches and fascinating historical buildings rub shoulders with the best of modern architecture, such as the Scottish Parliament and the National Museum of Scotland. Variously dubbed ""Auld Reekie"" or ""Athens of the North"", but usually just plain ""Embruh"", it hosts great restaurants, shops, pubs, wild and mild clubs, and an unrivalled programme of events and festivals throughout the year. "
26;269857672;Glasgow;Glasgow (Gaelic: Glaschu) is a city on Clydeside in the Central Belt of Scotland. In 2021 the city had a population of 612,040, with a total of 1,209,143 in the Greater Glasgow area, Scotland's largest conurbation. The name derives from ancient Brittonic glas cöü, a green hollow, which you will struggle to locate. What you do encounter is a lively year-round destination with lots to see and do.
27;271544355;Liverpool;Liverpool is a big city in Merseyside, England, within the historic county boundaries of Lancashire, famed for its football teams, the Grand National horse race, music (including The Beatles), vibrant nightlife and its links with the arts and culture.
28;4278528;Washington;Washington, D.C., the capital of the United States of America and the seat of its three branches of government, has an unparalleled collection of free, public museums, and the lion's share of the nation's most treasured monuments and memorials. The vistas on the National Mall between the Capitol, Washington Monument, White House, and Lincoln Memorial are iconic throughout the world. 
29;17751024;Boston;A city of history and tradition, Boston offers a proud legacy of culture, education, and numerous sporting championships. The city's independent spirit has been displayed to the world ever since colonists angry over a British tax on their beloved tea dumped shiploads of it into the harbor in protest.
30;26249932;Chicago;"Chicago is the home of the blues and the truth of jazz, the heart of comedy and the idea of the skyscraper. Here, the age of railroads found its center, and airplanes followed suit. ""Stormy, Husky, Brawling / City of Big Shoulders,"" Chicago is a Heartland boomtown, its ethos defined by urban planner Daniel Burnham's immortal vision: ""Make no little plans; they have no magic to stir men's blood."" It is one of the world's great cities."
31;369253421;Los Angeles;"Frank Lloyd Wright is said to have quipped, ""Tip the world over on its side and everything loose will land in Los Angeles,"" a quote that has since been repeated both by those who love and hate L.A. The ""City of Angels"" is home to people who hail from all parts of the globe and an important center of culture, business, media, and international trade. However, it's most famous for being a major center of the world's television, motion picture, and music industry, which forms the base of the city's status and lures visitors for its show business history and celebrity culture. Visitors are also drawn to Los Angeles for its Mediterranean climate and numerous beaches, which gave birth to California's famed surf culture."
32;295808510;Miami;Miami is a major city in the southeastern United States and the second most populous city in Florida. The Greater Miami metropolitan area is the largest in the state with an estimated population just under 6.1 million (2021), which makes it the 9th most populous metro area in the United States.
33;294029191;New Orleans;"Way down yonder in New Orleans (French: La Nouvelle-Orléans), you'll find the roots of jazz and a blossoming culture that is unlike anything else on Earth. Here, the laid-back atmosphere of the riverfront South has mixed with French sophistication, Spanish style, and African-American energy to create something greater than the sum of its parts. ""NOLA"" is the largest city in Louisiana and one of the top tourist destinations in the United States."
34;371470565;New York;"One of the world's greatest cities, New York (known as ""The Big Apple"", ""NYC,"" and often called ""New York City"") is a global center for media, entertainment, art, fashion, research, finance, and trade. The bustling, cosmopolitan heart of the 4th largest metropolis in the world and by far the most populous city in the United States, New York has long been a key entry point and a defining city for the nation. "
35;312239722;San Francisco;The centerpiece of the Bay Area, San Francisco is one of the most visited cities in the world, and with good reason. The cultural center of northern California, San Francisco is renowned for its mixture of scenic beauty and unique culture that makes it one of the most vibrant and desirable cities in the nation, if not the world.
36;48598690;Montevideo;Montevideo is the capital city of Uruguay, on the east bank of the Rio de la Plata. Though sometimes overlooked beside nearby Buenos Aires, Montevideo is a significant city in its own right: it's the cultural and political center of the country, home to 1.3 million people in 2011, more than ten times the size of the next largest Uruguayan city. The metro area has around two million—half of the population of Uruguay—but the friendliness and helpfulness of the residents will make you think you're in a much smaller city.
37;46476020;Punta Del Este;Punta del Este is a beach resort town in Uruguay complete with casinos, beaches, yachts and lots of tourists from all over the world. Many of these tourists come from the other side of the Rio de la Plata from Argentina to get some nice fun in the sun on a beach away from the brown waters of the Rio de la Plata. Punta del Este is located in Maldonado Department, adjacent to the departmental capital of Maldonado, on the Atlantic Coast in the south of the country. The city had a population of 9,300 people in 2011.
38;48353406;Colonia del Sacramento;Colonia del Sacramento is in southwestern Uruguay, across from Buenos Aires on the northern shore of the Rio de la Plata. Founded in 1680 as a Portuguese colony, Colonia's historic district is now a UNESCO World Heritage site, full of cobblestone streets lined with historic buildings.
39;46592425;Piriápolis;Piriápolis is a small beach town between Montevideo and Punta del Este in Uruguay.
40;39632863;Rivera;To a large extent, Rivera and Santana function as one city: you can easily take a day trip from one to the other without even bringing your passport. You may not even notice you're crossing the border, which is marked by inconspicuous white border markers. If you decide to venture further into the other country, though, make sure to stop at immigration (located next to Siñeriz Shopping) to get your passport stamped out of one country and into the other.
41;46689921;La Paloma;La Paloma is a city in the Atlantic Coast region of Uruguay.
42;211707013;Khiva;"Khiva (Uzbek: Xiva, Хива; Russian: Хива) is a city of 93,000 people (2020) in the western province of Khorezm in the Republic of Uzbekistan. Along with Samarkand and Bukhara, Khiva is an important and often overlooked historical site on what was once the Great Silk Road."
43;221769659;Namangan City;Namangan is the second-largest city in Uzbekistan (2014 pop. 475,700) on the northern edge of the Ferghana Valley.
44;211799952;Nukus;Nukus is a city in Karakalpakstan, Uzbekistan. It is the capital of the region However, even by Uzbek standards the town is fairly decrepit and most travellers only stay one night in order to see the Savitsky gallery. Despite this, the locals are a friendly lot. Learn a few words of Karakalpak and you'll be rewarded with delighted smiles.
45;220276939;Samarqand City;What is the first thing that comes to your mind when you think of the Silk Road(s)? Chances are, you pictured beautiful ornate Islamic architecture with turquoise domes and soaring tiled minarets. The image in your head is Samarkand. Samarkand (or Samarqand) is perhaps the most famous city of modern Uzbekistan, and home to many of that country's historical sites. From before the time of Alexander the Great through the present, Samarkand has been the jewel in Central Asia's resplendent crown. No other city represents the Silk Road quite like Samarkand. 
46;299321694;Caracas;Caracas is the capital and largest city of Venezuela, in northern Venezuela, near the Caribbean. Venezuela’s urban spirit can be discovered mainly from understanding Caracas, its capital city, a busy metropolis famous for its food, cultural diversity, and perfect climate, thanks to the unique combination of a high elevation and proximity to the Caribbean Sea.
47;297115897;Coro;Coro is the capital of Falcón state in Northwest Venezuela. It had about 200,000 residents as of 2011. Santa Ana de Coro, referred to as Coro, was the first capital of Venezuela, is the oldest city in the west of Venezuela (1527) and a UNESCO World Heritage Site.
48;292394664;Ciudad Guayana;Ciudad Guayana is a city in the state of Bolívar in Venezuela. It is constituted by Puerto Ordaz and San Félix, two originally independent tows that have sprawled and merged into one single city. The city's economy is based on heavy industry, including huge aluminum and steel export plants.
49;297535660;Maracaibo;"Maracaibo is the capital of Zulia state in Northwest Venezuela, and is the second largest city in the country after Caracas. It has more than 2 million people and it's famous for its typical music, big shopping malls and beautiful parks. It is called ""La Primera Ciudad de Venezuela"" (The Most Important Venezuelan City) because of its development."
50;299121998;Maracay;Maracay is the capital of Aragua state in Central Venezuela. Famous for being called the Garden City, for its large amount of vegetation. It has several tourist attractions such as the famous Choroní town, monuments, museums, and parks like the Henri Pittier National Park.
51;298916943;Mérida;Mérida the capital of Mérida State, is located in Venezuela, at the foot of the Andes, 15 kilometers from Venezuela's highest point. It is the centre for outdoor activities in Venezuela. 
52;298350696;Puerto La Cruz;Puerto La Cruz is a city in Venezuela's Northeast, in the state of Anzoátegui. In some ways, it's kind of like the beachside resort area for Barcelona nearby, although it is tainted a bit by the fact that it's also the home of the Puerto La Cruz refinery, one of the largest in the country, along with a fossil fuel processing plant. Cough. But, all things considered, the local still has some very pleasing beaches surrounding it, and borders on the natural realm of Mochima National Park. It is the embarkation point for ferries to this park and even more significantly, to Margarita Island.
53;365556721;Hà Nội;Hanoi (Vietnamese: Hà Nội), the capital of Vietnam and its second largest city, is a fascinating blend of East and West, with Chinese influence from centuries of dominance, and French je ne sais quoi from its colonial past. It was largely unspoiled by the modern architecture of the 1970s and 80s, and is now undergoing a rapid transformation that makes it a rising star in Southeast Asia. 
54;214833685;Akhaltsikhe;"Akhaltsikhe (Georgian: ახალციხე, ""New Fortress"") is a small city of about 18,000 people (2014) and the capital of Samtskhe-Javakheti. It's a rather sleepy town, but its Old City and Old Turkish baths are worth a visit, and it's a great base for exploring the surrounding areas, including Sapara Monastery in the immediate vicinity and Vardzia to the south with Khertvisi and Tmogvi Fortresses along the way."
55;214771824;Batumi;Batumi is the capital city of the Autonomous Republic of Ajara in the country of Georgia. Batumi's coastal location and sub-tropical climate make it a popular holiday destination. It's the party capital of the region, with a nightlife to match, which increasingly includes big name international DJs on the beachfront clubs.
56;215066367;Borjomi;Borjomi (ბორჯომი bohr-joh-mee) is a town in central Georgia as well as the name of a natural reserve and of the famous volcanic salty spring water. The source of this spring water lies in the Borjomi gorge.
57;215926097;Gori;Gori (Georgian: გორი) is a city in the Shida Kartli region of Georgia.
58;215895167;Kutaisi;Kutaisi is a city in the Rioni Region of Georgia. The city itself is very cinematographic and charming, and a visit to Kutaisi is almost mandatory to see the Bagrati Cathedral and Gelati Monastery, which are UNESCO World Heritage sites and offer views from the mountain slopes over the city and the Rioni River.
59;215513794;Mtskheta;Mtskheta (მცხეთა) is a town lot about 8,000 people (2014) 15 km north of Tbilisi in the Kartli region of Georgia.
60;374915810;Sighnaghi;Sighnaghi (Signagi) (Georgian: სიღნაღი) is a town in Georgia's easternmost region of Kakheti and the administrative center of the Sighnaghi District. It is one of the country's smallest towns with a population of about 1,600 (2019).
61;36500291;Lodwar;Lodwar is a town of 83,000 people (2019), and the capital of the Turkana District in the Northern Rift Valley region of Kenya.
62;31004893;Malindi;Malindi and Watamu villages are known for their wonderfull Indian Ocean beaches, which are among the best and most picturesque in Kenya.
63;36465890;Meru;The town consists of two main parts: central Meru, and junction town, which grew in the north, around the junction of B6 and the road to Maua.
64;31947047;Nakuru;Nakuru is a city in the Southern Rift Valley region of Kenya.
65;82474325;Skopje;"Skopje (Macedonian: Скопје, Albanian: Shkup, Turkish: Üsküp) is the capital and largest city of the Republic of North Macedonia. Skopje is city of many cultures and many centuries. The various groups that have controlled the city through its history have each left visible reminders of their reign: multiple Dardanian and Roman-era archaeological sites dot the city; Byzantine and Serbian Empire churches and monasteries can be found around the outskirts; a great wealth of Ottoman heritage fills the Stara Čaršija; commieblocks and other Soviet-esque structures recall the Yugoslav era; and the current ruling party is erecting countless historicist neoclassical-style buildings in Centar. All of this comes together to form quite an interesting city."
66;82592258;Bitola;Bitola (Macedonian: Битола) is a grand old town that still bears the marks of its turn-of-the-century importance as a center for diplomacy – while also exemplifying the country’s time-honored cafe culture. Bitola is nicknamed “City of Consuls” and is the second largest city in North Macedonia, with a population of over 70,000 in the city proper and nearly 100,000 in the larger Bitola Municipality. Near the border with Greece, it straddles the Dragor River at the foot of Baba Mountain in Pelister National Park.
67;82339624;Kratovo;Kratovo (Macedonian: Кратово) is a town of just under 7,000 residents in northeastern North Macedonia. It is on the western slopes of Mount Osogovo inside the crater of an extinguished volcano. In addition to its scenic location, it is best known for its medieval bridges and towers.
68;82528714;Krushevo;Kruševo is also known as the centre of the Vlach (Aromanian) minority in North Macedonia, though they form only about 20% of the town's 5,330 residents as of the last census. Vlachs and the Mijak group of Macedonians that inhabit the town are historically known for their building skills, giving Kruševo a unique collection of architecture. Hidden up in the mountains between the woods, Kruševo has managed to preserve this genuine appeal. The town has the same layout as a century ago and a great deal of traditional houses and buildings are preserved, so it is a good place to admire and learn about traditional architecture. The town is also a winter skiing destination, with a ski lift running right above the town.
69;82702447;Ohrid;Ohrid (Macedonian: Охрид) is a town in southwestern North Macedonia on the shore of Lake Ohrid. A town of vast history and heritage, it was made a UNESCO heritage site in 1980. Nestled between high mountains up to 2,800 m and Lake Ohrid, it is not only a place of historic significance but also of outstanding natural beauty. Ohrid is the jewel in North Macedonia's crown.
70;82412392;Prilep;"Prilep is a city in Western North Macedonia nicknamed ""The city under Marko’s towers"", alluding to its fortress. The city of 76,768 is the Macedonian tobacco and beer capital - tobacco leaves can be seen drying across the city and Prilep's brewery produces most of the country's most popular beers. The city was the capital of the medieval kingdom of Kings Vukašin and Marko which explains the large number of churches and monasteries in and around the city."
71;82398425;Shtip;Štip is the largest city in Eastern North Macedonia with about 44,000 people (2002). It has been perhaps the most important educational, cultural, and economic centres of this half of Macedonia for centuries. The first opera in Macedonia was played in Štip in 1924. In 2007, Štip became home to the country's fourth state university when Goce Delčev University opened.
72;82303728;Strumica;Strumica (Macedonian Cyrillic: Струмица) is a city in Eastern North Macedonia, situated near the tripoint with Bulgaria and Greece. Strumica is a well developed small city with about 40,000 residents and is the seat of its own municipality. It is a great place to stop by and, depending on your time, you have a lot of things to do. You can go shopping, take a walk through downtown and enjoy the cafés and restaraunts, which are in quite a number, or you can surprise yourself with the historical and natural wealth that this area offers.
73;138079747;Amsterdam;Amsterdam is the capital of the Netherlands' with a population of more than 850,000. Amsterdam is known for the canals that cross the city, its impressive architecture and more than 1,500 bridges.
74;91270391;Delft;"Delft is a mid-sized city in the west of the Netherlands. It's a beautiful, unspoiled town with traditional architecture, canals and bikes. It's also home to the world famous blue and white ceramics. Delft makes a great destination for a day-trip or can serve as a base to explore the region. And if the bustling crowds of Amsterdam are not really your thing, Delft is a lovely alternative, offering an equally interesting insight into the cultural wealth of old ""Holland"", on a far more intimate scale."
75;138860125;The Hague;The Hague (Dutch: Den Haag or 's-Gravenhage) is a city in the province of South Holland in the Netherlands. It is the seat of the Dutch parliament and government, and the residence of King Willem-Alexander. It is not the capital city, which is Amsterdam. The municipality (which is the city) has more than 548,000 inhabitants (2021), making it the third largest city in the Netherlands.
76;140022355;Leiden;Leiden (historically known as Leyden) is easily one of the most enchanting cities in the Netherlands. It's home to the oldest university in the country, the birthplace of Rembrandt and breeding ground for ground-breaking science and Nobel laureates for centuries. It's a charmingly compact fortified city, packed with well-preserved historic heritage but with a young and lively atmosphere due to its large student population.
77;89316385;Maastricht;"By many considered to be the most beautiful city of the country, Maastricht is the southernmost city in the Netherlands. It's the capital of the province of Limburg and famous for what the Dutch call the ""Burgundian"" way of life. Dutch and international visitors alike flock in to enjoy this ""joie de vivre"" and indulge in the many fine dining, arts, culture and shopping opportunities in town. The river Maas runs through the city, offering some scenic views, and the lovely cobblestoned centre is full of historic buildings and impressive cathedrals. Whether you're here for sightseeing or just to shop till you drop, this is a great place to spend some time."
78;93972679;Nijmegen;Nijmegen lays claims to the title of oldest city in the Netherlands, and has indeed a long history and still lots of interesting heritage to enjoy today. World-famous among hiking enthusiast, the city annually hosts the International Four Days Marches Nijmegen. It's the largest multi-day walking event in the world and comes with a range of festivities. Attracting over 42,000 participants and over a million visitors, including many international ones, the event celebrated the 100th edition in 2016. Nijmegen is the largest city in the province of Gelderland and well known for its left-wing politics and its large student population.
79;92073731;Rotterdam;"Rotterdam is a very large city in the province of South Holland in the west of the Netherlands. The city is the second largest in the country with a population of approximately 650,000 inhabitants in the municipality (2020) and about 2.2 million inhabitants in the shared metropolitan area of The Hague and Rotterdam MRDH. Rotterdam is a vibrant, multicultural city; it is known for its university (Erasmus), cutting-edge architecture, lively cultural life, industrial riverside setting, its maritime heritage and colourful summer events. The municipality stretches all the way to the North Sea with gigantic areas like Europoort and Maasvlakte 1&2. All belong to the Port of Rotterdam."
80;221306514;Singapore;"Singapore (Chinese: 新加坡; Malay: Singapura; Tamil: சிங்கப்பூர்) is a city-state in Southeast Asia. Modern Singapore was founded as a British trading colony in 1819, and since independence, it has become one of the world's most prosperous countries and boasts one of the world's busiest ports. Singaporean food is legendary, with bustling hawker centres and 24-hour coffee shops offering affordable food from all parts of Asia. Combining the skyscrapers and subways of an affluent, futuristic and modern city with a medley of different Asian cultures such as the Chinese, Malay and Indian influences and a tropical climate, with tasty food, good shopping and a vibrant nightlife scene, this Garden City makes a great stopover or springboard into the region."
81;206579565;Hong Kong Island;"Hong Kong (香港 hoeng1 gong2 in Cantonese, meaning fragrant harbour) is a place with multiple personalities; the population is mainly Cantonese Chinese but British influence is quite visible. It is a unique destination that has absorbed people and cultural influences from places as diverse as Vietnam and Vancouver and proudly proclaims itself to be Asia's World City."
